	Date	RPM	Speed	nGear	Throttle	Brake	DRS	Source	Time	SessionTime
0	2022-03-20 14:01:03.298	0	0	0	0	False	0	car	0 days 00:00:03.281000	0 days 00:00:03.281000
1	2022-03-20 14:01:03.498	0	0	0	0	False	0	car	0 days 00:00:03.481000	0 days 00:00:03.481000
2	2022-03-20 14:01:03.738	0	0	0	0	False	0	car	0 days 00:00:03.721000	0 days 00:00:03.721000
3	2022-03-20 14:01:04.178	0	0	0	0	False	0	car	0 days 00:00:04.161000	0 days 00:00:04.161000
4	2022-03-20 14:01:04.418	0	0	0	0	False	0	car	0 days 00:00:04.401000	0 days 00:00:04.401000
5	2022-03-20 14:01:04.618	0	0	0	0	False	0	car	0 days 00:00:04.601000	0 days 00:00:04.601000
6	2022-03-20 14:01:04.858	0	0	0	0	False	0	car	0 days 00:00:04.841000	0 days 00:00:04.841000
7	2022-03-20 14:01:05.178	0	0	0	0	False	0	car	0 days 00:00:05.161000	0 days 00:00:05.161000
8	2022-03-20 14:01:05.418	0	0	0	0	False	0	car	0 days 00:00:05.401000	0 days 00:00:05.401000
9	2022-03-20 14:01:05.618	0	0	0	0	False	0	car	0 days 00:00:05.601000	0 days 00:00:05.601000
10	2022-03-20 14:01:05.898	0	0	0	0	False	0	car	0 days 00:00:05.881000	0 days 00:00:05.881000
11	2022-03-20 14:01:06.298	0	0	0	0	False	0	car	0 days 00:00:06.281000	0 days 00:00:06.281000
12	2022-03-20 14:01:06.618	0	0	0	0	False	0	car	0 days 00:00:06.601000	0 days 00:00:06.601000
13	2022-03-20 14:01:06.818	0	0	0	0	False	0	car	0 days 00:00:06.801000	0 days 00:00:06.801000
14	2022-03-20 14:01:06.978	0	0	0	0	False	0	car	0 days 00:00:06.961000	0 days 00:00:06.961000
15	2022-03-20 14:01:07.338	0	0	0	0	False	0	car	0 days 00:00:07.321000	0 days 00:00:07.321000
16	2022-03-20 14:01:07.538	0	0	0	0	False	0	car	0 days 00:00:07.521000	0 days 00:00:07.521000
17	2022-03-20 14:01:07.738	0	0	0	0	False	0	car	0 days 00:00:07.721000	0 days 00:00:07.721000
18	2022-03-20 14:01:08.058	0	0	0	0	False	0	car	0 days 00:00:08.041000	0 days 00:00:08.041000
19	2022-03-20 14:01:08.338	0	0	0	0	False	0	car	0 days 00:00:08.321000	0 days 00:00:08.321000
20	2022-03-20 14:01:08.538	0	0	0	0	False	0	car	0 days 00:00:08.521000	0 days 00:00:08.521000
21	2022-03-20 14:01:08.858	0	0	0	0	False	0	car	0 days 00:00:08.841000	0 days 00:00:08.841000
22	2022-03-20 14:01:09.978	0	0	0	0	False	0	car	0 days 00:00:09.961000	0 days 00:00:09.961000
23	2022-03-20 14:01:10.138	0	0	0	0	False	0	car	0 days 00:00:10.121000	0 days 00:00:10.121000
24	2022-03-20 14:01:10.378	0	0	0	0	False	0	car	0 days 00:00:10.361000	0 days 00:00:10.361000
25	2022-03-20 14:01:10.658	0	0	0	0	False	0	car	0 days 00:00:10.641000	0 days 00:00:10.641000
26	2022-03-20 14:01:10.818	0	0	0	0	False	0	car	0 days 00:00:10.801000	0 days 00:00:10.801000
27	2022-03-20 14:01:11.058	0	0	0	0	False	0	car	0 days 00:00:11.041000	0 days 00:00:11.041000
28	2022-03-20 14:01:11.218	0	0	0	0	False	0	car	0 days 00:00:11.201000	0 days 00:00:11.201000
29	2022-03-20 14:01:11.418	0	0	0	0	False	0	car	0 days 00:00:11.401000	0 days 00:00:11.401000
30	2022-03-20 14:01:11.698	0	0	0	0	False	0	car	0 days 00:00:11.681000	0 days 00:00:11.681000
31	2022-03-20 14:01:11.858	0	0	0	0	False	0	car	0 days 00:00:11.841000	0 days 00:00:11.841000
32	2022-03-20 14:01:12.058	0	0	0	0	False	0	car	0 days 00:00:12.041000	0 days 00:00:12.041000
33	2022-03-20 14:01:12.538	0	0	0	0	False	0	car	0 days 00:00:12.521000	0 days 00:00:12.521000
34	2022-03-20 14:01:12.938	0	0	0	0	False	0	car	0 days 00:00:12.921000	0 days 00:00:12.921000
35	2022-03-20 14:01:13.138	0	0	0	0	False	0	car	0 days 00:00:13.121000	0 days 00:00:13.121000
36	2022-03-20 14:01:13.378	0	0	0	0	False	0	car	0 days 00:00:13.361000	0 days 00:00:13.361000
37	2022-03-20 14:01:13.738	0	0	0	0	False	0	car	0 days 00:00:13.721000	0 days 00:00:13.721000
38	2022-03-20 14:01:13.938	0	0	0	0	False	0	car	0 days 00:00:13.921000	0 days 00:00:13.921000
39	2022-03-20 14:01:14.138	0	0	0	0	False	0	car	0 days 00:00:14.121000	0 days 00:00:14.121000
40	2022-03-20 14:01:14.418	0	0	0	0	False	0	car	0 days 00:00:14.401000	0 days 00:00:14.401000
41	2022-03-20 14:01:14.658	0	0	0	0	False	0	car	0 days 00:00:14.641000	0 days 00:00:14.641000
42	2022-03-20 14:01:14.898	0	0	0	0	False	0	car	0 days 00:00:14.881000	0 days 00:00:14.881000
43	2022-03-20 14:01:15.058	0	0	0	0	False	0	car	0 days 00:00:15.041000	0 days 00:00:15.041000
44	2022-03-20 14:01:15.458	0	0	0	0	False	0	car	0 days 00:00:15.441000	0 days 00:00:15.441000
45	2022-03-20 14:01:15.619	0	0	0	0	False	0	car	0 days 00:00:15.602000	0 days 00:00:15.602000
46	2022-03-20 14:01:15.819	0	0	0	0	False	0	car	0 days 00:00:15.802000	0 days 00:00:15.802000
47	2022-03-20 14:01:16.059	0	0	0	0	False	0	car	0 days 00:00:16.042000	0 days 00:00:16.042000
48	2022-03-20 14:01:16.338	0	0	0	0	False	0	car	0 days 00:00:16.321000	0 days 00:00:16.321000
49	2022-03-20 14:01:16.658	0	0	0	0	False	0	car	0 days 00:00:16.641000	0 days 00:00:16.641000
50	2022-03-20 14:01:16.938	0	0	0	0	False	0	car	0 days 00:00:16.921000	0 days 00:00:16.921000
51	2022-03-20 14:01:17.098	0	0	0	0	False	0	car	0 days 00:00:17.081000	0 days 00:00:17.081000
52	2022-03-20 14:01:17.338	0	0	0	0	False	0	car	0 days 00:00:17.321000	0 days 00:00:17.321000
53	2022-03-20 14:01:17.498	0	0	0	0	False	0	car	0 days 00:00:17.481000	0 days 00:00:17.481000
54	2022-03-20 14:01:17.858	0	0	0	0	False	0	car	0 days 00:00:17.841000	0 days 00:00:17.841000
55	2022-03-20 14:01:18.258	0	0	0	0	False	0	car	0 days 00:00:18.241000	0 days 00:00:18.241000
56	2022-03-20 14:01:18.578	0	0	0	0	False	0	car	0 days 00:00:18.561000	0 days 00:00:18.561000
57	2022-03-20 14:01:18.738	0	0	0	0	False	0	car	0 days 00:00:18.721000	0 days 00:00:18.721000
58	2022-03-20 14:01:18.978	0	0	0	0	False	0	car	0 days 00:00:18.961000	0 days 00:00:18.961000
59	2022-03-20 14:01:19.218	0	0	0	0	False	0	car	0 days 00:00:19.201000	0 days 00:00:19.201000
60	2022-03-20 14:01:19.498	0	0	0	0	False	0	car	0 days 00:00:19.481000	0 days 00:00:19.481000
61	2022-03-20 14:01:19.818	0	0	0	0	False	0	car	0 days 00:00:19.801000	0 days 00:00:19.801000
62	2022-03-20 14:01:20.058	0	0	0	0	False	0	car	0 days 00:00:20.041000	0 days 00:00:20.041000
63	2022-03-20 14:01:20.378	0	0	0	0	False	0	car	0 days 00:00:20.361000	0 days 00:00:20.361000
64	2022-03-20 14:01:20.698	0	0	0	0	False	0	car	0 days 00:00:20.681000	0 days 00:00:20.681000
65	2022-03-20 14:01:20.858	0	0	0	0	False	0	car	0 days 00:00:20.841000	0 days 00:00:20.841000
66	2022-03-20 14:01:21.138	0	0	0	0	False	0	car	0 days 00:00:21.121000	0 days 00:00:21.121000
67	2022-03-20 14:01:21.578	0	0	0	0	False	0	car	0 days 00:00:21.561000	0 days 00:00:21.561000
68	2022-03-20 14:01:21.858	0	0	0	0	False	0	car	0 days 00:00:21.841000	0 days 00:00:21.841000
69	2022-03-20 14:01:22.139	0	0	0	0	False	0	car	0 days 00:00:22.122000	0 days 00:00:22.122000
70	2022-03-20 14:01:22.339	0	0	0	0	False	0	car	0 days 00:00:22.322000	0 days 00:00:22.322000
71	2022-03-20 14:01:22.659	0	0	0	0	False	0	car	0 days 00:00:22.642000	0 days 00:00:22.642000
72	2022-03-20 14:01:23.018	0	0	0	0	False	0	car	0 days 00:00:23.001000	0 days 00:00:23.001000
73	2022-03-20 14:01:23.218	0	0	0	0	False	0	car	0 days 00:00:23.201000	0 days 00:00:23.201000
74	2022-03-20 14:01:23.498	0	0	0	0	False	0	car	0 days 00:00:23.481000	0 days 00:00:23.481000
75	2022-03-20 14:01:23.698	0	0	0	0	False	0	car	0 days 00:00:23.681000	0 days 00:00:23.681000
76	2022-03-20 14:01:23.978	0	0	0	0	False	0	car	0 days 00:00:23.961000	0 days 00:00:23.961000
77	2022-03-20 14:01:24.298	0	0	0	0	False	0	car	0 days 00:00:24.281000	0 days 00:00:24.281000
78	2022-03-20 14:01:24.538	0	0	0	0	False	0	car	0 days 00:00:24.521000	0 days 00:00:24.521000
79	2022-03-20 14:01:24.698	0	0	0	0	False	0	car	0 days 00:00:24.681000	0 days 00:00:24.681000
80	2022-03-20 14:01:25.018	0	0	0	0	False	0	car	0 days 00:00:25.001000	0 days 00:00:25.001000
81	2022-03-20 14:01:25.218	0	0	0	0	False	0	car	0 days 00:00:25.201000	0 days 00:00:25.201000
82	2022-03-20 14:01:25.578	0	0	0	0	False	0	car	0 days 00:00:25.561000	0 days 00:00:25.561000
83	2022-03-20 14:01:26.018	0	0	0	0	False	0	car	0 days 00:00:26.001000	0 days 00:00:26.001000
84	2022-03-20 14:01:26.378	0	0	0	0	False	0	car	0 days 00:00:26.361000	0 days 00:00:26.361000
85	2022-03-20 14:01:26.538	0	0	0	0	False	0	car	0 days 00:00:26.521000	0 days 00:00:26.521000
86	2022-03-20 14:01:26.738	0	0	0	0	False	0	car	0 days 00:00:26.721000	0 days 00:00:26.721000
87	2022-03-20 14:01:27.058	0	0	0	0	False	0	car	0 days 00:00:27.041000	0 days 00:00:27.041000
88	2022-03-20 14:01:27.378	0	0	0	0	False	0	car	0 days 00:00:27.361000	0 days 00:00:27.361000
89	2022-03-20 14:01:27.578	0	0	0	0	False	0	car	0 days 00:00:27.561000	0 days 00:00:27.561000
90	2022-03-20 14:01:27.818	0	0	0	0	False	0	car	0 days 00:00:27.801000	0 days 00:00:27.801000
91	2022-03-20 14:01:28.218	0	0	0	0	False	0	car	0 days 00:00:28.201000	0 days 00:00:28.201000
92	2022-03-20 14:01:28.538	0	0	0	0	False	0	car	0 days 00:00:28.521000	0 days 00:00:28.521000
93	2022-03-20 14:01:28.779	0	0	0	0	False	0	car	0 days 00:00:28.762000	0 days 00:00:28.762000
94	2022-03-20 14:01:29.059	0	0	0	0	False	0	car	0 days 00:00:29.042000	0 days 00:00:29.042000
95	2022-03-20 14:01:29.938	0	0	0	0	False	0	car	0 days 00:00:29.921000	0 days 00:00:29.921000
96	2022-03-20 14:01:30.138	0	0	0	0	False	0	car	0 days 00:00:30.121000	0 days 00:00:30.121000
97	2022-03-20 14:01:30.378	0	0	0	0	False	0	car	0 days 00:00:30.361000	0 days 00:00:30.361000
98	2022-03-20 14:01:30.578	0	0	0	0	False	0	car	0 days 00:00:30.561000	0 days 00:00:30.561000
99	2022-03-20 14:01:30.818	0	0	0	0	False	0	car	0 days 00:00:30.801000	0 days 00:00:30.801000
100	2022-03-20 14:01:30.978	0	0	0	0	False	0	car	0 days 00:00:30.961000	0 days 00:00:30.961000
101	2022-03-20 14:01:31.178	0	0	0	0	False	0	car	0 days 00:00:31.161000	0 days 00:00:31.161000
102	2022-03-20 14:01:31.338	0	0	0	0	False	0	car	0 days 00:00:31.321000	0 days 00:00:31.321000
103	2022-03-20 14:01:31.658	0	0	0	0	False	0	car	0 days 00:00:31.641000	0 days 00:00:31.641000
104	2022-03-20 14:01:31.978	0	0	0	0	False	0	car	0 days 00:00:31.961000	0 days 00:00:31.961000
105	2022-03-20 14:01:32.218	0	0	0	0	False	0	car	0 days 00:00:32.201000	0 days 00:00:32.201000
106	2022-03-20 14:01:32.538	0	0	0	0	False	0	car	0 days 00:00:32.521000	0 days 00:00:32.521000
107	2022-03-20 14:01:32.858	0	0	0	0	False	0	car	0 days 00:00:32.841000	0 days 00:00:32.841000
108	2022-03-20 14:01:33.058	0	0	0	0	False	0	car	0 days 00:00:33.041000	0 days 00:00:33.041000
109	2022-03-20 14:01:33.258	0	0	0	0	False	0	car	0 days 00:00:33.241000	0 days 00:00:33.241000
110	2022-03-20 14:01:33.418	0	0	0	0	False	0	car	0 days 00:00:33.401000	0 days 00:00:33.401000
